,RAIZ,identificador,situação cadastral,data situacao,motivo situacao,data início atividade,cnae principal,logradouro,numero,bairro,cep,uf,municipio
9737,65943789,1,2,20050430,0,19910520,4221902,MARIA CELINA,68,IPIRANGA,4125100.0,SP,7107
9738,10918175,1,2,20051103,0,19671002,8211300,RIO NEGRO,585,ALPHAVILLE CENTRO INDUSTRIAL E EMPRESARIAL/ALPHAVI,6454000.0,SP,6213
9742,49670524,1,2,20050930,0,19820420,4329199,TAGUA,206,LIBERDADE,1508010.0,SP,7107
9743,85779049,1,2,20051103,0,19720815,1721400,LOC ALTO RIBEIRAO DA VARGEM,SN,SEDE,89190000.0,SC,8351
9744,49748023,1,2,20051103,0,19780315,4321500,ENGENHEIRO LUIZ CARLOS BERRINI,1681,CIDADE MONCOES,4571011.0,SP,7107
9747,86548294,1,2,20051103,0,19660830,4511102,D. PEDRO II,35,CENTRO,89560210.0,SC,8379
9748,50053636,1,8,20080131,2,19820514,6201501,DAS NACOES UNIDAS,12.901,CHACARA ITAIM,4578000.0,SP,7107
9750,30090575,1,2,20040730,0,19660930,4211101,WASHINGTON LUIZ,252,CENTRO,24030250.0,RJ,5865
9751,88028873,1,2,20051103,0,19750915,2330399,DOUTOR ALBERTO JACKSON BYINGTON,1525,VILA MENCK,6276000.0,SP,6789
9753,68250208,1,2,20051103,0,19920708,8121400,MARICA MARQUES,536,JARDIM REPRESA (FAZENDINHA),6529210.0,SP,7047
9755,13642699,1,2,20051103,0,19721228,1071600,MASSAYO,S N,JUAZEIRO,48905350.0,BA,3669
9757,14197461,1,2,20051103,0,19760401,4120400,ALMIRANTE MARQUES DE LEAO,475,BARRA,40140230.0,BA,3849
9758,14414973,1,2,20051103,0,19771117,3702900,BA 530  VIA CETREL  VIA ATLANTICA,SN,POLO INDUSTRIAL DE CAMACARI,42816280.0,BA,3413
9764,33055732,1,2,20051103,0,19730122,3011301,BRAGA,2,BARRETO,24110200.0,RJ,5865
9765,33256439,1,2,20051103,0,19531211,6462000,BRIGADEIRO LUIZ ANTONIO,1343,BELA VISTA,1317910.0,SP,7107
9768,53542841,1,2,20051103,0,19840611,2071100,LUIZ VAZ DE CAMOES,177,CUMBICA,7210007.0,SP,6477
9770,15495393,1,2,20051103,0,19811222,4671100,LUIGI PAPAIZ,239,JARDIM DAS NACOES,9931610.0,SP,6377
9775,33628140,1,2,20050924,0,19900208,4612500,RAFAEL NASCIMENTO,284,CENTRO,75901290.0,GO,9571
9776,15978919,1,2,20051103,0,19880127,6821802,C 12,704,SETOR SUDOESTE,74305010.0,GO,9373
9777,16084121,1,2,20041224,0,19870223,4921301,ALCOBACA,250,NOVA AMERICA,45988460.0,BA,3993
9778,34098442,1,8,20140831,2,19701007,6431000,FRANCISCO MATARAZZO,1500,AGUA BRANCA,5001100.0,SP,7107
9781,16379331,1,2,20051103,0,19871029,8630503,GRACILIANO DE FREITAS,23,ROMA,40444340.0,BA,3849
9786,34558841,1,8,20190228,2,19900301,2610800,ABIURANA,1655,DISTRIT INDUSTRIAL I,69075010.0,AM,255
9795,17162280,1,2,20051103,0,19660810,7711000,BARAO HOMEM DE MELO,2681,ESTORIL,30494085.0,MG,4123
9796,17167321,1,2,20031004,0,19540812,6462000,SANTOS,466,PARAISO,1418000.0,SP,7107
9802,92258961,1,2,20050924,0,19880801,8640202,BORGES DE MEDEIROS,357,CENTRO,96810034.0,RS,8839
9803,17298092,1,2,20051103,0,19670911,6422100,BRIGADEIRO FARIA LIMA,3500,ITAIM BIBI,4538132.0,SP,7107
9826,07654850,1,2,20051017,0,20051017,4930202,BARAO HOMEM DE MELO,4554,ESTORIL,30494270.0,MG,4123
9844,07829802,1,2,20060125,0,20060125,4682600,JOSE ALVES PIMENTA,1420,MATADOURO,27115010.0,RJ,5805
9866,60874187,1,2,20051103,0,19660708,2121101,XINGU,766,ALPHAVILLE INDUSTRIAL,6455030.0,SP,6213
9869,01533929,1,8,20080930,2,19961113,8630503,AMADEU AMARAL,47,BELA VISTA,1327010.0,SP,7107
9925,67858498,1,8,19961231,1,19920513,8888888,RODOLFO MIRANDA,466,BOM RETIRO,1121010.0,SP,7107
9937,05296590,1,2,20020911,0,20020911,4930202,ANTONIO THOMAZ FERREIRA REZENDE,5120,DISTRITO INDUSTRIAL,38402349.0,MG,5403
10008,61084984,1,2,20051103,0,19660711,6462000,OLYMPIA SEMERARO,675,JARDIM SANTA EMILIA,4183090.0,SP,7107
10014,05345723,1,2,20010225,0,19850325,2212900,BR 316,1599,CENTRO,67033009.0,PA,415
10015,01522368,1,2,20051103,0,19961030,6422100,PRESIDENTE JUSCELINO KUBITSCHEK,1909,VILA NOVA CONCEICAO,4543011.0,SP,7107
10016,48524268,1,2,20051103,0,19770802,2013402,CANDIDO PORTINARI,S/N,VILA CRUZEIRO,14300320.0,SP,6217
10017,28020444,1,8,20121231,2,19840330,8610101,JOAO BORGES,204,GAVEA,22451100.0,RJ,6001
10029,00814022,1,2,20010321,0,19950901,8599604,ALAMEDA PRESIDENTE TAUNAY,1360,MERCES,80430042.0,PR,7535
10033,03792440,1,2,20050813,0,20000502,6201501,PAULISTA,2300,BELA VISTA,1310300.0,SP,7107
10034,00558943,1,2,20051103,0,19950424,4330499,DOUTOR JOAQUIM NABUCO,2339,OURO PRETO,53370285.0,PE,2491
10035,02336124,1,2,20051103,0,19980127,4669999,MANUEL BANDEIRA,291,VILA LEOPOLDINA,5317020.0,SP,7107
10036,00882430,1,2,20051103,0,19951017,2910701,BR 101,15055,CORVETA,89245000.0,SC,8025
10037,55330229,1,2,20051103,0,19660818,4530705,BRASIL,1744,VILA SAO JORGE,19013000.0,SP,6929
10038,17958315,1,8,20111031,2,19721218,2424502,VERBO DIVINO,1488,CHACARA SANTO ANTONIO,4719904.0,SP,7107
10039,18422469,1,2,20051103,0,19750917,2219600,INDUSTRIAL,1420,DISTRITO INDUSTRIAL,35040610.0,MG,4553
10040,20445649,1,2,20040828,0,19850306,4399101,CONTORNO,9215,PRADO,30110067.0,MG,4123
10041,06890941,1,2,20051103,0,19820329,4930203,TRAJANO DE MORAIS,216,PASSARE,60861710.0,CE,1389
10042,76801166,1,2,20051103,0,19830705,7740300,RUI BARBOSA,4110,PARQUE DA FONTE,83050010.0,PR,7885
10044,78855186,1,2,20051103,0,19850710,2543800,SOROCABA,91,FLORESTA,89212210.0,SC,8179
10046,01583150,1,2,20051103,0,19961201,4632003,PORTO DAS ROSAS,1150,PQUE GENIBAU,60534160.0,CE,1389
10047,60882776,1,2,20051103,0,19660708,2812700,MERCEDES BENZ,700,DISTRITO INDUSTRIAL,13054750.0,SP,6291
10049,81460644,1,2,20051103,0,19890804,1052000,BELTRAO,188,MARRECAS,85601410.0,PR,7565
10051,48740351,1,2,20051103,0,19770322,4930202,"PRESIDENTE DUTRA KM 222,500",S/N,CUMBICA,7180903.0,SP,6477
10052,11982113,1,2,20050924,0,19870319,4751201,BERNARDO VIEIRA,3775,TIROL,59015900.0,RN,1761
10053,87200150,1,2,20051103,0,19801014,6463800,CONEGO PEDRO HENRIQUE VIER,1180,CENTRO,95835000.0,RS,6031
10054,87792479,1,2,20051103,0,19811126,4693100,ASSIS BRASIL,7900,SARANDI,91140000.0,RS,8801
10055,13219100,1,2,20051103,0,19830120,5510801,CATARINA FOGACA,998, ARMACAO,41750120.0,BA,3849
10057,52189420,1,2,20051103,0,19830321,1071600,PARALCOOL,SN,BREJAO,19700000.0,SP,6811
10061,33760497,1,8,20010731,2,19711021,6432800,BRIGADEIRO FARIA LIMA,3729,ITAIM - BIBI,4538905.0,SP,7107
10063,17312661,1,2,20051103,0,19680112,6612601,DOS GUAJAJARAS,581,CENTRO,30180100.0,MG,4123
10570,03804842,1,8,20181018,15,20000427,4712100,DO JACARANDA,2062,ALTO DE SANTA LUCIA,6361400.0,SP,6313
10575,04706030,1,2,20050930,0,20010919,4618499,PADRE JOAO MANUEL,1230,CERQUEIRA CESAR,1411000.0,SP,7107
10576,07221493,1,2,20050201,0,20050201,4664800,PASTOR MARTIN LUTHER KING JR.,126,INHAUMA,20765000.0,RJ,6001
10577,04184779,1,2,20031004,0,20001130,6422100,RIO NEGRO,585,ALPHAVILLE INDUSTRIAL,6454000.0,SP,6213
10579,03620596,1,2,20051103,0,20000131,4752100,BARTOLOMEU MITRE,254,LEBLON,22431002.0,RJ,6001
10586,82595968,1,2,20051103,0,19910628,4671100,SILVEIRA PEIXOTO,233,AGUA VERDE,80240120.0,PR,7535
